1.00,0.42,0.28,0.30,-0.06,-0.02,-0.07,-0.06,-0.01,0.36
0.42,1.00,0.30,0.38,0.13,0.10,0.10,-0.03,0.07,0.25
0.28,0.30,1.00,0.15,0.07,0.03,-0.12,-0.06,0.10,0.10
0.30,0.38,0.15,1.00,0.07,0.13,0.12,0.02,0.13,0.18
-0.06,0.13,0.07,0.07,1.00,0.41,0.21,0.14,0.56,-0.02
-0.02,0.10,0.03,0.13,0.41,1.00,0.19,0.18,0.32,-0.04
-0.07,0.10,-0.12,0.12,0.21,0.19,1.00,0.34,-0.12,0.05
-0.06,-0.03,-0.06,0.02,0.14,0.18,0.34,1.00,0.00,-0.01
-0.01,0.07,0.10,0.13,0.56,0.32,-0.12,0.00,1.00,-0.03
0.36,0.25,0.10,0.18,-0.02,-0.04,0.05,-0.01,-0.03,1.00
