1.00,0.44,0.14,0.19,-0.02,-0.03,0.00,-0.03,-0.05,0.24
0.44,1.00,0.20,0.23,0.16,0.08,0.10,-0.02,0.04,0.14
0.14,0.20,1.00,0.07,0.11,0.07,-0.07,-0.01,0.12,0.01
0.19,0.23,0.07,1.00,0.06,0.04,0.06,0.02,0.08,0.11
-0.02,0.16,0.11,0.06,1.00,0.33,0.21,0.07,0.51,-0.05
-0.03,0.08,0.07,0.04,0.33,1.00,0.19,0.14,0.23,-0.03
0.00,0.10,-0.07,0.06,0.21,0.19,1.00,0.15,-0.06,0.08
-0.03,-0.02,-0.01,0.02,0.07,0.14,0.15,1.00,0.01,0.02
-0.05,0.04,0.12,0.08,0.51,0.23,-0.06,0.01,1.00,-0.03
0.24,0.14,0.01,0.11,-0.05,-0.03,0.08,0.02,-0.03,1.00
