1.00,0.48,0.13,0.19,-0.05,-0.04,-0.02,-0.03,-0.03,0.34
0.48,1.00,0.21,0.18,0.11,0.09,0.04,-0.03,0.03,0.19
0.13,0.21,1.00,0.05,0.08,0.04,-0.07,-0.01,0.11,0.03
0.19,0.18,0.05,1.00,0.06,0.04,0.06,0.02,0.03,0.15
-0.05,0.11,0.08,0.06,1.00,0.35,0.17,0.02,0.39,-0.05
-0.04,0.09,0.04,0.04,0.35,1.00,0.19,0.08,0.19,-0.03
-0.02,0.04,-0.07,0.06,0.17,0.19,1.00,0.18,-0.07,0.05
-0.03,-0.03,-0.01,0.02,0.02,0.08,0.18,1.00,-0.02,-0.01
-0.03,0.03,0.11,0.03,0.39,0.19,-0.07,-0.02,1.00,-0.02
0.34,0.19,0.03,0.15,-0.05,-0.03,0.05,-0.01,-0.02,1.00
